# AI Overview query pairs — one topic per row
# Columns: pair_id, en (English), id (Indonesian/Bahasa Indonesia)
# Note: queries must not contain commas (no CSV escaping is performed)
pair_id,en,id
pair-001,Prabowo foreign policy 2025,prabowo kebijakan luar negeri 2025
pair-002,rising rice prices government response Indonesia,harga beras naik solusi pemerintah
pair-003,2024 regional election results Indonesia,pemilu kepala daerah serentak 2024 hasil
pair-004,corruption infrastructure projects Indonesia latest,korupsi proyek infrastruktur Indonesia terbaru
pair-005,Jakarta flooding disaster response,bencana alam banjir Jakarta penanganan
pair-006,IKN Nusantara capital city construction update,IKN Nusantara perkembangan terbaru pembangunan
pair-007,Indonesia China relations South China Sea,hubungan Indonesia China Laut China Selatan
pair-008,press freedom Indonesia Reporters Without Borders,kebebasan pers Indonesia Reporters Without Borders
pair-009,Indonesia poverty rate BPS 2025,angka kemiskinan Indonesia BPS 2025
pair-010,online gambling crackdown Kominfo Indonesia,judi online pemberantasan Kominfo
pair-011,police shooting civilians Indonesia latest case,polisi tembak warga kasus terbaru
pair-012,tax amnesty for corruptors controversy Indonesia,amnesti koruptor kontroversi kebijakan
pair-013,Indonesia foreign debt 2025,utang luar negeri Indonesia 2025
pair-014,Kalimantan deforestation palm oil,deforestasi hutan Kalimantan sawit
pair-015,Chinese workers in Indonesia controversy,tenaga kerja asing China di Indonesia
pair-016,Pertamina fuel price subsidy update,harga BBM pertamina subsidi terbaru
pair-017,KPK weakening anti-corruption Indonesia,KPK melemah pemberantasan korupsi
pair-018,youth unemployment Indonesia,pengangguran generasi muda Indonesia
pair-019,social media blocking government Indonesia,media sosial blokir pemerintah Indonesia
pair-020,Indonesia joining BRICS economic impact,BRICS Indonesia bergabung dampak ekonomi
